y,ds
1017.2,2023-04-12
1017.2,2023-04-12
1017.2,2023-04-12
1017.2,2023-04-12
1017.2,2023-04-12
1017.2,2023-04-12
1017.2,2023-04-12
1017.2,2023-04-12
1017.3,2023-04-12
1017.3,2023-04-12
1017.3,2023-04-12
1017.3,2023-04-12
1017.3,2023-04-12
1017.4,2023-04-12
1017.4,2023-04-12
1017.3,2023-04-12
1017.3,2023-04-12
1017.3,2023-04-12
1017.3,2023-04-12
1017.3,2023-04-12
1017.2,2023-04-12
1017.3,2023-04-12
1017.2,2023-04-12
1017.1,2023-04-12
1017.2,2023-04-12
1017.2,2023-04-12
1017.1,2023-04-12
1017.1,2023-04-12
1017.1,2023-04-12
1017.1,2023-04-12
1017,2023-04-12
1017,2023-04-12
1017,2023-04-12
1017,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.8,2023-04-12
1016.8,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.8,2023-04-12
1016.8,2023-04-12
1016.8,2023-04-12
1016.8,2023-04-12
1016.8,2023-04-12
1016.8,2023-04-12
1016.9,2023-04-12
1017,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1016.9,2023-04-12
1017,2023-04-12
1017,2023-04-12
1017,2023-04-12
1017,2023-04-12
1017,2023-04-12
1017,2023-04-12
1017,2023-04-12
1017,2023-04-12
1017.1,2023-04-12
1017.1,2023-04-12
1017.1,2023-04-12
1017.2,2023-04-12
1017.3,2023-04-12
1017.3,2023-04-12
1017.4,2023-04-12
1017.5,2023-04-12
1017.6,2023-04-12
1017.6,2023-04-12
1017.7,2023-04-12
1017.8,2023-04-12
1017.9,2023-04-12
1018,2023-04-12
1018.1,2023-04-12
1018.2,2023-04-12
1018.3,2023-04-12
1018.3,2023-04-12
1018.4,2023-04-12
1018.4,2023-04-12
1018.5,2023-04-12
1018.6,2023-04-12
1018.6,2023-04-12
1018.7,2023-04-12
1018.7,2023-04-12
1018.7,2023-04-12
1018.8,2023-04-12
1018.8,2023-04-12
1018.9,2023-04-12
1018.9,2023-04-12
1018.9,2023-04-12
1018.9,2023-04-12
1019,2023-04-12
1019,2023-04-12
1019,2023-04-12
1019.1,2023-04-12
1019,2023-04-12
1019,2023-04-12
1019,2023-04-12
1019,2023-04-12
1019,2023-04-12
1018.9,2023-04-12
1018.8,2023-04-12
1018.8,2023-04-12
1018.8,2023-04-12
1018.7,2023-04-12
1018.7,2023-04-12
1018.8,2023-04-12
1018.8,2023-04-12
1018.9,2023-04-12
1018.9,2023-04-12
1018.9,2023-04-12
1018.9,2023-04-12
1019,2023-04-12
1019,2023-04-12
1019.1,2023-04-12
1019.1,2023-04-12
1019.1,2023-04-12
1019.1,2023-04-12
1019.1,2023-04-12
1019.1,2023-04-12
1019.1,2023-04-12
1019.1,2023-04-12
1019.1,2023-04-12
1019.1,2023-04-12
1019.1,2023-04-12
1019,2023-04-12
1019,2023-04-12
1019,2023-04-12
1019,2023-04-12
1019,2023-04-12
1018.9,2023-04-12
1018.9,2023-04-12
1018.8,2023-04-12
1018.8,2023-04-12
1018.7,2023-04-12
1018.6,2023-04-12
1018.6,2023-04-12
1018.6,2023-04-12
1018.6,2023-04-12
1018.5,2023-04-12
1018.4,2023-04-12
1018.4,2023-04-12
1018.3,2023-04-12
1018.2,2023-04-12
1018.2,2023-04-12
1018.1,2023-04-12
1018.1,2023-04-12
1018,2023-04-12
1018,2023-04-12
1017.9,2023-04-12
1017.9,2023-04-12
1017.9,2023-04-12
1017.9,2023-04-12
1017.9,2023-04-12
1017.9,2023-04-12
1017.9,2023-04-12
1017.9,2023-04-12
1017.9,2023-04-12
1017.9,2023-04-12
1017.9,2023-04-12
1017.8,2023-04-12
1017.8,2023-04-12
1017.8,2023-04-12
1017.7,2023-04-12
1017.7,2023-04-12
1017.7,2023-04-12
1017.7,2023-04-12
1017.8,2023-04-12
1017.8,2023-04-11
1017.8,2023-04-11
1017.8,2023-04-11
1017.8,2023-04-11
1017.8,2023-04-11
1017.8,2023-04-11
1017.9,2023-04-11
1017.9,2023-04-11
1017.9,2023-04-11
1017.9,2023-04-11
1017.9,2023-04-11
1017.9,2023-04-11
