y,ds
66,2023-04-12
66,2023-04-12
66,2023-04-12
66,2023-04-12
65,2023-04-12
64,2023-04-12
64,2023-04-12
64,2023-04-12
64,2023-04-12
64,2023-04-12
64,2023-04-12
64,2023-04-12
64,2023-04-12
63,2023-04-12
63,2023-04-12
63,2023-04-12
63,2023-04-12
63,2023-04-12
62,2023-04-12
61,2023-04-12
61,2023-04-12
61,2023-04-12
61,2023-04-12
61,2023-04-12
60,2023-04-12
60,2023-04-12
61,2023-04-12
60,2023-04-12
59,2023-04-12
58,2023-04-12
58,2023-04-12
56,2023-04-12
54,2023-04-12
55,2023-04-12
53,2023-04-12
51,2023-04-12
50,2023-04-12
50,2023-04-12
50,2023-04-12
50,2023-04-12
51,2023-04-12
52,2023-04-12
53,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
53,2023-04-12
53,2023-04-12
53,2023-04-12
53,2023-04-12
53,2023-04-12
54,2023-04-12
54,2023-04-12
53,2023-04-12
53,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
55,2023-04-12
55,2023-04-12
55,2023-04-12
55,2023-04-12
55,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
55,2023-04-12
55,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
55,2023-04-12
55,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
54,2023-04-12
55,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
57,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
58,2023-04-12
58,2023-04-12
58,2023-04-12
58,2023-04-12
58,2023-04-12
58,2023-04-12
58,2023-04-12
58,2023-04-12
58,2023-04-12
58,2023-04-12
58,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
56,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
57,2023-04-12
58,2023-04-12
58,2023-04-12
58,2023-04-12
58,2023-04-12
59,2023-04-12
59,2023-04-12
59,2023-04-12
60,2023-04-12
60,2023-04-12
60,2023-04-12
60,2023-04-12
60,2023-04-12
60,2023-04-12
60,2023-04-12
61,2023-04-12
61,2023-04-12
62,2023-04-12
63,2023-04-12
63,2023-04-12
63,2023-04-12
64,2023-04-12
64,2023-04-12
65,2023-04-12
