y,ds
5,2023-04-12
4,2023-04-12
3,2023-04-12
4,2023-04-12
3,2023-04-12
3,2023-04-12
3,2023-04-12
2,2023-04-12
2,2023-04-12
3,2023-04-12
3,2023-04-12
3,2023-04-12
2,2023-04-12
2,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
1,2023-04-12
1,2023-04-12
0,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
2,2023-04-12
2,2023-04-12
2,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
2,2023-04-12
2,2023-04-12
0,2023-04-12
0,2023-04-12
1,2023-04-12
1,2023-04-12
0,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
2,2023-04-12
1,2023-04-12
1,2023-04-12
2,2023-04-12
4,2023-04-12
4,2023-04-12
2,2023-04-12
2,2023-04-12
1,2023-04-12
1,2023-04-12
0,2023-04-12
0,2023-04-12
2,2023-04-12
1,2023-04-12
2,2023-04-12
2,2023-04-12
3,2023-04-12
2,2023-04-12
1,2023-04-12
2,2023-04-12
2,2023-04-12
1,2023-04-12
2,2023-04-12
1,2023-04-12
2,2023-04-12
2,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
2,2023-04-12
2,2023-04-12
1,2023-04-12
1,2023-04-12
2,2023-04-12
1,2023-04-12
0,2023-04-12
1,2023-04-12
2,2023-04-12
2,2023-04-12
2,2023-04-12
2,2023-04-12
2,2023-04-12
1,2023-04-12
2,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
0,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
2,2023-04-12
2,2023-04-12
2,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
1,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
0,2023-04-12
1,2023-04-12
1,2023-04-12
1,2023-04-12
2,2023-04-12
3,2023-04-12
3,2023-04-12
4,2023-04-12
3,2023-04-12
3,2023-04-12
5,2023-04-12
6,2023-04-12
6,2023-04-12
6,2023-04-12
6,2023-04-12
6,2023-04-12
6,2023-04-12
7,2023-04-12
8,2023-04-12
7,2023-04-12
7,2023-04-12
6,2023-04-12
6,2023-04-11
6,2023-04-11
7,2023-04-11
8,2023-04-11
6,2023-04-11
6,2023-04-11
4,2023-04-11
6,2023-04-11
6,2023-04-11
8,2023-04-11
8,2023-04-11
6,2023-04-11
6,2023-04-11
7,2023-04-11
6,2023-04-11
5,2023-04-11
4,2023-04-11
5,2023-04-11
7,2023-04-11
7,2023-04-11
5,2023-04-11
7,2023-04-11
6,2023-04-11
3,2023-04-11
6,2023-04-11
8,2023-04-11
7,2023-04-11
5,2023-04-11
3,2023-04-11
4,2023-04-11
7,2023-04-11
7,2023-04-11
5,2023-04-11
6,2023-04-11
7,2023-04-11
5,2023-04-11
5,2023-04-11
6,2023-04-11
4,2023-04-11
6,2023-04-11
4,2023-04-11
4,2023-04-11
2,2023-04-11
2,2023-04-11
5,2023-04-11
7,2023-04-11
6,2023-04-11
6,2023-04-11
4,2023-04-11
5,2023-04-11
5,2023-04-11
4,2023-04-11
5,2023-04-11
4,2023-04-11
4,2023-04-11
5,2023-04-11
4,2023-04-11
5,2023-04-11
4,2023-04-11
5,2023-04-11
5,2023-04-11
3,2023-04-11
6,2023-04-11
4,2023-04-11
5,2023-04-11
5,2023-04-11
4,2023-04-11
6,2023-04-11
3,2023-04-11
5,2023-04-11
7,2023-04-11
4,2023-04-11
5,2023-04-11
4,2023-04-11
4,2023-04-11
5,2023-04-11
6,2023-04-11
4,2023-04-11
5,2023-04-11
6,2023-04-11
5,2023-04-11
5,2023-04-11
4,2023-04-11
6,2023-04-11
5,2023-04-11
5,2023-04-11
5,2023-04-11
5,2023-04-11
5,2023-04-11
4,2023-04-11
5,2023-04-11
4,2023-04-11
5,2023-04-11
4,2023-04-11
4,2023-04-11
4,2023-04-11
4,2023-04-11
4,2023-04-11
5,2023-04-11
4,2023-04-11
3,2023-04-11
3,2023-04-11
3,2023-04-11
3,2023-04-11
3,2023-04-11
3,2023-04-11
4,2023-04-11
4,2023-04-11
2,2023-04-11
1,2023-04-11
2,2023-04-11
3,2023-04-11
3,2023-04-11
3,2023-04-11
5,2023-04-11
3,2023-04-11
2,2023-04-11
3,2023-04-11
2,2023-04-11
3,2023-04-11
1,2023-04-11
1,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
1,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
2,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
1,2023-04-11
1,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
0,2023-04-11
1,2023-04-11
1,2023-04-11
0,2023-04-11
1,2023-04-11
2,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
2,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
0,2023-04-11
1,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
2,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
2,2023-04-11
2,2023-04-11
1,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
0,2023-04-11
1,2023-04-11
0,2023-04-11
0,2023-04-11
